Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,7085.712076640935,10299.419223245757,24.25666448266525,106078036.33616422,6,6,2
2,7321.497655557662,9622.332765986992,29.34961316451266,92589287.85938686,6,6,2
4,5200.049016777347,6413.931348425629,32.08896600093121,41138515.34231701,6,6,2
6,4959.350013195571,5849.57882901307,21.5579674229054,34217572.476837926,6,6,2
8,6505.1973124968135,7631.430158120877,25.335373650076804,58238726.25827684,6,6,2
10,11350.801724799552,13987.592210001048,33.942997919869896,195652735.833282,6,6,2
