Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,9957.457955729167,11178.75242458527,38.15145897700632,124964505.77017105,6,6,2
2,9816.484498697917,13480.379815699027,36.18533263249653,181720639.9755057,6,6,2
4,3013.0990104166667,3442.4685549645296,15.688321994077992,11850589.751919577,6,6,2
6,4936.804752604167,6262.3824060580955,21.496900774044096,39217433.39970598,6,6,2
8,7633.4393489583335,8085.182401645931,30.891358987413437,65370174.46788508,6,6,2
10,11480.915162760415,13387.869192466012,35.96420821520327,179235041.51458058,6,6,2
