Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,33192.9350257407,39653.75853101734,148.60094984065623,1572420565.6362305,6,6,2
2,32564.59656412584,36558.48289130643,180.4912093501005,1336522671.3139448,6,6,2
4,31210.467777818692,37109.9561590737,150.74625449605915,1377148846.128372,6,6,2
6,36400.76294189353,42390.74440779936,161.14542996245342,1796975211.4473727,6,6,2
8,37182.52598081909,44206.132673063614,148.21230448783734,1954182165.9085023,6,6,2
10,41743.23917516016,47635.123946087784,134.88685340743618,2269105033.359146,6,6,2
