Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,2819.866293722613,4000.041356249192,11.08477449036319,16000330.851703877,6,6,2
2,2815.514694635698,3417.4770524558357,13.357310770659877,11679149.404062228,6,6,2
4,3776.867990405184,4446.547590321293,22.669356818946813,19771785.472992092,6,6,2
6,3645.8840758428487,5440.200520981048,15.357290262988732,29595781.70848246,6,6,2
8,4627.89406593274,6387.863056128829,17.428893276513882,40804794.42385554,6,6,2
10,7818.996953224659,9653.240263768777,23.381340613816658,93185047.59004669,6,6,2
